id,,
# NOTES,,
# Ship IDs entered here will be allowed for duplication.,,
# This feature is very hard to get working in campaign as a player, and lorewise, allows for duplication of even the most complex hulls.
yna_cinderbull,,
yna_nitroknife,,
yna_pummeler,,
yna_maulsling,,
yna_glarestruck,,
yna_clamcan,,
yna_ballpeinhead,,
yna_spitroast,,
yna_flamedial,,
yna_quillpress,,
yna_rockblaster,,
yna_kindlebow,,
yna_buffalo,,
yna_starspot,,
yna_grouse,,
yna_hailslammer,,
yna_weighbell,,
yna_lumbergiant,,
yna_sunblade,,
yna_torchmace,,
yna_flarebringer,,
yna_winterthorn,,
yna_urgrand,,
yna_perilstar,,
